SEASON,RANK,TEAM,HOME GAMES,HOME ATTENDANCE,ROAD GAMES,ROAD ATTENDANCE,TOTAL GAMES,TOTAL ATTENDANCE,average_attendance,season_start,previous_avg_attendence,avg_attendance_change_from_prev
2001-02,2,Montreal,41,821140,41,681543,82,1502683,18325,2001,18059.0,0.014729497757350905
2002-03,1,Montreal,41,847586,41,670104,82,1517690,18508,2002,18325.0,0.009986357435197817
2003-04,1,Montreal,41,842767,41,716762,82,1559529,19019,2003,18508.0,0.02760968229954614
2005-06,1,Montreal,41,872194,41,714712,82,1586906,19353,2005,19019.0,0.017561385982438615
2006-07,1,Montreal,41,872193,41,694581,82,1566774,19107,2006,19353.0,-0.012711207564718649
2007-08,1,Montreal,41,872193,41,719550,82,1591743,19412,2007,19107.0,0.015962736169990055
2008-09,2,Montreal,41,872193,41,728324,82,1600517,19518,2008,19412.0,0.005460539872243973
2009-10,2,Montreal,41,872193,41,709382,82,1581575,19288,2009,19518.0,-0.011783994261707143
2010-11,2,Montreal,41,872193,40,698920,81,1571113,19396,2010,19288.0,0.005599336374948154
2011-12,2,Montreal,41,872193,41,725331,82,1597524,19482,2011,19396.0,0.004433903897710869
2012-13,2,Montreal,24,510552,24,423504,48,934056,19460,2012,19482.0,-0.0011292475105225336
2013-14,3,Montreal,41,872193,41,733613,82,1605806,19583,2013,19460.0,0.00632065775950668
2014-15,2,Montreal,41,872752,41,725700,82,1598452,19493,2014,19583.0,-0.00459582290762396
2015-16,2,Montreal,41,872808,41,780066,82,1652874,20157,2015,19493.0,0.0340635099779408
2016-17,2,Montreal,41,872808,41,713892,82,1586700,19350,2016,20157.0,-0.04003571960113112
2017-18,2,Montreal,41,873283,41,733736,82,1607019,19598,2017,19350.0,0.012816537467700258
2000-01,30,NY Islanders,41,464627,41,685561,82,1150188,14027,2000,,
2001-02,27,NY Islanders,41,596498,41,722502,82,1319000,16085,2001,14027.0,0.14671704569758323
2002-03,22,NY Islanders,41,612154,41,667070,82,1279224,15600,2002,16085.0,-0.030152315822194593
2003-04,26,NY Islanders,41,561419,41,679698,82,1241117,15136,2003,15600.0,-0.029743589743589743
2005-06,30,NY Islanders,41,516973,41,682978,82,1199951,14634,2005,15136.0,-0.03316596194503171
2006-07,28,NY Islanders,41,528331,41,704421,82,1232752,15034,2006,14634.0,0.02733360666940003
2007-08,30,NY Islanders,41,559247,41,723486,82,1282733,15643,2007,15034.0,0.04050818145536783
2008-09,30,NY Islanders,41,564697,41,725905,82,1290602,15739,2008,15643.0,0.006136930256344691
2009-10,29,NY Islanders,41,522168,41,699870,82,1222038,14903,2009,15739.0,-0.05311646229112396
2010-11,30,NY Islanders,41,453456,41,712580,82,1166036,14220,2010,14903.0,-0.04582969871837885
2011-12,29,NY Islanders,41,540838,41,722789,82,1263627,15410,2011,14220.0,0.08368495077355836
2012-13,30,NY Islanders,24,319362,24,437688,48,757050,15772,2012,15410.0,0.023491239454899417
2013-14,26,NY Islanders,41,604362,41,711186,82,1315548,16043,2013,15772.0,0.017182348465635305
2014-15,25,NY Islanders,41,628729,41,723158,82,1351887,16486,2014,16043.0,0.027613289285046437
2015-16,28,NY Islanders,41,558705,41,716352,82,1275057,15549,2015,16486.0,-0.05683610336042703
2016-17,28,NY Islanders,41,537149,41,717951,82,1255100,15306,2016,15549.0,-0.0156280146633224
2017-18,31,NY Islanders,41,492086,41,722584,82,1214670,14813,2017,15306.0,-0.03220959101006141
2000-01,7,NY Rangers,41,746200,41,722748,82,1468948,17914,2000,,
2001-02,9,NY Rangers,41,739582,41,732588,82,1472170,17953,2001,17914.0,0.0021770682148040637
2002-03,9,NY Rangers,41,744068,41,721272,82,1465340,17870,2002,17953.0,-0.004623182754971314
2003-04,9,NY Rangers,41,741302,41,697451,82,1438753,17546,2003,17870.0,-0.01813094571908226
2005-06,10,NY Rangers,41,743848,41,713154,82,1457002,17768,2005,17546.0,0.012652456400319161
2006-07,11,NY Rangers,41,746200,41,732465,82,1478665,18032,2006,17768.0,0.014858171994597028
2007-08,11,NY Rangers,41,746200,41,737590,82,1483790,18095,2007,18032.0,0.0034937888198757765
2008-09,12,NY Rangers,41,745085,41,732014,82,1477099,18013,2008,18095.0,-0.0045316385741917655
2009-10,13,NY Rangers,41,741128,41,727053,82,1468181,17905,2009,18013.0,-0.00599566979403764
2010-11,13,NY Rangers,41,742432,41,721928,82,1464360,17858,2010,17905.0,-0.002624965093549288
2011-12,14,NY Rangers,41,745852,41,759730,82,1505582,18361,2011,17858.0,0.028166648000895956
2012-13,19,NY Rangers,24,412800,24,442968,48,855768,17828,2012,18361.0,-0.029028919993464408
2013-14,15,NY Rangers,41,738246,41,802452,82,1540698,18789,2013,17828.0,0.05390397128113081
2014-15,17,NY Rangers,41,738246,41,731112,82,1469358,17919,2014,18789.0,-0.046303688328277186
2015-16,18,NY Rangers,41,738246,41,741444,82,1479690,18045,2015,17919.0,0.007031642390758413
2016-17,17,NY Rangers,41,738828,41,733695,82,1472523,17958,2016,18045.0,-0.0048212801330008315
2017-18,18,NY Rangers,41,731899,41,744519,82,1476418,18005,2017,17958.0,0.002617217953001448
2000-01,18,Nashville,42,662226,42,656964,84,1319190,15705,2000,,
2001-02,26,Nashville,41,606347,41,664733,82,1271080,15501,2001,15705.0,-0.012989493791786055
2002-03,30,Nashville,41,542367,41,662888,82,1205255,14698,2002,15501.0,-0.05180310947680795
2003-04,28,Nashville,41,539450,41,687242,82,1226692,14960,2003,14698.0,0.017825554497210506
2005-06,25,Nashville,41,591556,41,661412,82,1252968,15280,2005,14960.0,0.0213903743315508
2006-07,23,Nashville,41,625649,41,651982,82,1277631,15581,2006,15280.0,0.019698952879581153
2007-08,27,Nashville,41,611328,41,710530,82,1321858,16120,2007,15581.0,0.03459341505679995
2008-09,27,Nashville,41,615439,41,720944,82,1336383,16297,2008,16120.0,0.01098014888337469
2009-10,26,Nashville,41,614143,41,693023,82,1307166,15941,2009,16297.0,-0.021844511259741056
2010-11,21,Nashville,41,661861,41,667767,82,1329628,16215,2010,15941.0,0.017188382159212093
2011-12,20,Nashville,41,684324,41,703765,82,1388089,16928,2011,16215.0,0.04397163120567376
2012-13,23,Nashville,24,407386,24,417312,48,824698,17181,2012,16928.0,0.014945652173913044
2013-14,20,Nashville,41,680619,41,707865,82,1388484,16933,2013,17181.0,-0.014434549793376404
2014-15,21,Nashville,41,691028,41,697246,82,1388274,16930,2014,16933.0,-0.00017716884190633673
2015-16,20,Nashville,41,695828,41,717336,82,1413164,17234,2015,16930.0,0.01795629060838748
2016-17,20,Nashville,41,703555,41,701469,82,1405024,17134,2016,17234.0,-0.005802483462922131
2017-18,21,Nashville,41,709597,41,711391,82,1420988,17329,2017,17134.0,0.011380880121396054
2000-01,19,New Jersey,41,641340,41,682363,82,1323703,16143,2000,,
2001-02,19,New Jersey,41,652957,41,699788,82,1352745,16497,2001,16143.0,0.021929009477792232
2002-03,23,New Jersey,41,609218,41,696385,82,1305603,15922,2002,16497.0,-0.034854822088864645
2003-04,23,New Jersey,41,617449,41,686791,82,1304240,15905,2003,15922.0,-0.0010677050621781183
2005-06,26,New Jersey,41,583448,41,686135,82,1269583,15483,2005,15905.0,-0.02653253693806979
2006-07,26,New Jersey,41,581225,41,710366,82,1291591,15751,2006,15483.0,0.017309306981851062
2007-08,23,New Jersey,41,638144,41,720288,82,1358432,16566,2007,15751.0,0.051742746492286204
2008-09,23,New Jersey,41,647397,41,727545,82,1374942,16768,2008,16566.0,0.012193649643848847
2009-10,20,New Jersey,41,636975,41,715614,82,1352589,16495,2009,16768.0,-0.016281011450381678
2010-11,25,New Jersey,41,605803,41,729349,82,1335152,16282,2010,16495.0,-0.012913003940588056
2011-12,24,New Jersey,41,631258,41,718812,82,1350070,16464,2011,16282.0,0.01117798796216681
2012-13,20,New Jersey,24,410739,24,431520,48,842259,17547,2012,16464.0,0.0657798833819242
2013-14,24,New Jersey,41,625570,41,717787,82,1343357,16382,2013,17547.0,-0.06639311563230182
2014-15,26,New Jersey,41,622783,41,707537,82,1330320,16223,2014,16382.0,-0.009705774630692223
2015-16,26,New Jersey,41,618029,41,701920,82,1319949,16097,2015,16223.0,-0.007766750909202983
2016-17,27,New Jersey,41,597261,41,705569,82,1302830,15888,2016,16097.0,-0.012983785798596012
2017-18,27,New Jersey,41,623240,41,715655,82,1338895,16328,2017,15888.0,0.02769385699899295
2000-01,10,Ottawa,41,729515,41,668792,82,1398307,17053,2000,,
2001-02,15,Ottawa,41,693684,41,664282,82,1357966,16561,2001,17053.0,-0.028851228522840555
2002-03,14,Ottawa,41,705124,41,645176,82,1350300,16467,2002,16561.0,-0.005675985749652799
2003-04,13,Ottawa,41,728101,41,646611,82,1374712,16765,2003,16467.0,0.018096799659925913
2005-06,5,Ottawa,41,798453,41,687324,82,1485777,18119,2005,16765.0,0.08076349537727408
2006-07,5,Ottawa,41,794271,41,694991,82,1489262,18162,2006,18119.0,0.0023731994039406148
2007-08,3,Ottawa,41,812665,41,688185,82,1500850,18303,2007,18162.0,0.007763462173769409
2008-09,7,Ottawa,41,776947,41,711760,82,1488707,18155,2008,18303.0,-0.008086106102824673
2009-10,12,Ottawa,41,749061,41,685766,82,1434827,17498,2009,18155.0,-0.036188377857339575
2010-11,11,Ottawa,41,753525,41,703150,82,1456675,17764,2010,17498.0,0.015201737341410447
2011-12,6,Ottawa,41,793612,41,710448,82,1504060,18342,2011,17764.0,0.03253771673046611
2012-13,6,Ottawa,24,465801,24,425256,48,891057,18564,2012,18342.0,0.012103369316323193
2013-14,13,Ottawa,41,742468,41,713072,82,1455540,17750,2013,18564.0,-0.043848308554190904
2014-15,16,Ottawa,41,748112,41,699378,82,1447490,17652,2014,17750.0,-0.00552112676056338
2015-16,17,Ottawa,41,741472,41,710202,82,1451674,17703,2015,17652.0,0.0028891910265125766
2016-17,21,Ottawa,41,686534,41,712949,82,1399483,17067,2016,17703.0,-0.03592611421792916
2017-18,24,Ottawa,41,648996,41,706799,82,1355795,16534,2017,17067.0,-0.031229858791820473
2000-01,3,Philadelphia,41,802595,41,704462,82,1507057,18379,2000,,
2001-02,3,Philadelphia,41,802337,41,711719,82,1514056,18464,2001,18379.0,0.004624843571467436
2002-03,3,Philadelphia,41,792333,41,676172,82,1468505,17909,2002,18464.0,-0.03005849220103986
2003-04,4,Philadelphia,41,794388,41,673056,82,1467444,17896,2003,17909.0,-0.0007258920096041096
2005-06,4,Philadelphia,41,805783,41,707086,82,1512869,18450,2005,17896.0,0.030956638354939652
2006-07,7,Philadelphia,41,790591,41,682978,82,1473569,17970,2006,18450.0,-0.026016260162601626
2007-08,4,Philadelphia,41,801797,41,709997,82,1511794,18437,2007,17970.0,0.02598775737340011
2008-09,4,Philadelphia,41,801372,41,719304,82,1520676,18545,2008,18437.0,0.005857785973856918
2009-10,4,Philadelphia,41,800966,40,673200,81,1474166,18200,2009,18545.0,-0.018603397142086815
2010-11,3,Philadelphia,41,808328,41,718525,82,1526853,18620,2010,18200.0,0.023076923076923078
2011-12,3,Philadelphia,41,837754,41,706881,82,1544635,18837,2011,18620.0,0.011654135338345865
2012-13,4,Philadelphia,24,474878,24,436344,48,911222,18984,2012,18837.0,0.007803790412486065
2013-14,4,Philadelphia,41,813411,41,698517,82,1511928,18438,2013,18984.0,-0.028761061946902654
2014-15,4,Philadelphia,41,790107,41,708931,82,1499038,18281,2014,18438.0,-0.008515023321401454
2015-16,5,Philadelphia,41,788319,41,713933,82,1502252,18320,2015,18281.0,0.0021333625075214704
2016-17,6,Philadelphia,41,805408,41,761329,82,1566737,19107,2016,18320.0,0.04295851528384279
2017-18,3,Philadelphia,41,800214,41,702781,82,1502995,18329,2017,19107.0,-0.04071806144345005
2000-01,16,Pittsburgh,42,683655,42,748692,84,1432347,17052,2000,,
2001-02,22,Pittsburgh,41,641615,41,696631,82,1338246,16320,2001,17052.0,-0.04292751583391977
2002-03,25,Pittsburgh,41,604788,41,712129,82,1316917,16060,2002,16320.0,-0.015931372549019607
2003-04,30,Pittsburgh,41,486961,41,682896,82,1169857,14267,2003,16060.0,-0.11164383561643836
2005-06,20,Pittsburgh,41,647975,41,702125,82,1350100,16465,2005,14267.0,0.15406182098549098
2006-07,18,Pittsburgh,41,673395,41,729390,82,1402785,17107,2006,16465.0,0.038991800789553596
2007-08,16,Pittsburgh,41,700137,41,779082,82,1479219,18039,2007,17107.0,0.0544806219676156
2008-09,18,Pittsburgh,41,695997,41,737672,82,1433669,17484,2008,18039.0,-0.030766672210211208
2009-10,18,Pittsburgh,41,700211,41,746405,82,1446616,17642,2009,17484.0,0.009036833676504232
2010-11,12,Pittsburgh,40,729628,41,737426,81,1467054,18112,2010,17642.0,0.02664097041151797
2011-12,10,Pittsburgh,41,761224,41,733941,82,1495165,18234,2011,18112.0,0.006735865724381626
2012-13,12,Pittsburgh,24,447560,24,428616,48,876176,18254,2012,18234.0,0.0010968520346605244
2013-14,9,Pittsburgh,41,763344,41,785806,82,1549150,18892,2013,18254.0,0.03495124356305467
2014-15,12,Pittsburgh,41,763319,41,737549,82,1500868,18303,2014,18892.0,-0.031177217869997883
2015-16,11,Pittsburgh,41,760584,41,737385,82,1497969,18268,2015,18303.0,-0.001912254821613943
2016-17,4,Pittsburgh,41,810273,41,731563,82,1541836,18803,2016,18268.0,0.029286183490256187
2017-18,10,Pittsburgh,41,761764,41,732793,82,1494557,18226,2017,18803.0,-0.03068659256501622
2000-01,11,San Jose,41,716196,41,660141,82,1376337,16785,2000,,
2001-02,12,San Jose,41,714337,41,661945,82,1376282,16784,2001,16785.0,-5.957700327673518e-05
2002-03,13,San Jose,41,711386,41,672277,82,1383663,16874,2002,16784.0,0.005362249761677788
2003-04,18,San Jose,41,649261,41,663462,82,1312723,16009,2003,16874.0,-0.05126229702500889
2005-06,16,San Jose,41,690095,41,694458,82,1384553,16885,2005,16009.0,0.054719220438503344
2006-07,14,San Jose,41,714316,41,667521,82,1381837,16852,2006,16885.0,-0.001954397394136808
2007-08,14,San Jose,41,713863,41,693392,82,1407255,17162,2007,16852.0,0.018395442677427012
2008-09,15,San Jose,41,717023,41,724552,82,1441575,17580,2008,17162.0,0.024356135648525814
2009-10,14,San Jose,41,719904,41,689374,82,1409278,17186,2009,17580.0,-0.02241183162684869
2010-11,17,San Jose,40,702480,40,688000,80,1390480,17381,2010,17186.0,0.0113464447806354
2011-12,18,San Jose,41,720076,41,702740,82,1422816,17351,2011,17381.0,-0.0017260226684310453
2012-13,16,San Jose,24,421472,24,412200,48,833672,17368,2012,17351.0,0.0009797706184081609
2013-14,17,San Jose,41,702480,41,718238,82,1420718,17326,2013,17368.0,-0.002418240442192538
2014-15,11,San Jose,41,767012,41,701879,82,1468891,17913,2014,17326.0,0.03387971834237562
2015-16,22,San Jose,41,686623,41,711063,82,1397686,17045,2015,17913.0,-0.04845642829230168
2016-17,19,San Jose,41,717833,41,689825,82,1407658,17167,2016,17045.0,0.00715752420064535
2017-18,20,San Jose,41,711988,41,709136,82,1421124,17331,2017,17167.0,0.009553212558979438
2000-01,4,St. Louis,41,800319,41,692818,82,1493137,18209,2000,,
2001-02,5,St. Louis,41,777695,41,701059,82,1478754,18034,2001,18209.0,-0.009610632105003021
2002-03,5,St. Louis,41,761388,41,665307,82,1426695,17399,2002,18034.0,-0.035211267605633804
2003-04,6,St. Louis,41,760976,41,676008,82,1436984,17524,2003,17399.0,0.007184320937984942
2005-06,27,St. Louis,41,582742,41,687734,82,1270476,15494,2005,17524.0,-0.11584113216160694
2006-07,30,St. Louis,41,513345,41,686504,82,1199849,14632,2006,15494.0,-0.05563443913773074
2007-08,13,St. Louis,41,722021,41,706102,82,1428123,17416,2007,14632.0,0.19026790595954074
2008-09,10,St. Louis,41,760732,41,704913,82,1465645,17874,2008,17416.0,0.026297657326596235
2009-10,7,St. Louis,40,755322,40,667600,80,1422922,17787,2009,17874.0,-0.004867405169519974
2010-11,7,St. Louis,41,785150,41,665389,82,1450539,17690,2010,17787.0,-0.005453421037836622
2011-12,9,St. Louis,41,771207,41,707988,82,1479195,18039,2011,17690.0,0.019728660260033917
2012-13,18,St. Louis,24,414328,24,422424,48,836752,17432,2012,18039.0,-0.033649315372249015
2013-14,18,St. Louis,41,698059,41,715245,82,1413304,17235,2013,17432.0,-0.01130105553005966
2014-15,14,St. Louis,41,760349,41,705569,82,1465918,17877,2014,17235.0,0.03724978241949521
2015-16,13,St. Louis,41,756483,41,715614,82,1472097,17952,2015,17877.0,0.00419533478771606
2016-17,7,St. Louis,41,801127,41,704626,82,1505753,18363,2016,17952.0,0.02289438502673797
2017-18,12,St. Louis,41,752624,41,717828,82,1470452,17932,2017,18363.0,-0.02347111038501334
2000-01,25,Tampa Bay,41,611173,41,640092,82,1251265,15259,2000,,
2001-02,20,Tampa Bay,41,644610,41,650096,82,1294706,15789,2001,15259.0,0.034733599842715776
2002-03,16,Tampa Bay,41,678354,41,675844,82,1354198,16515,2002,15789.0,0.04598137944138324
2003-04,12,Tampa Bay,41,730634,41,655303,82,1385937,16902,2003,16515.0,0.023433242506811988
2005-06,2,Tampa Bay,41,840887,41,649891,82,1490778,18180,2005,16902.0,0.07561235356762513
2006-07,3,Tampa Bay,41,814944,41,688759,82,1503703,18338,2006,18180.0,0.00869086908690869
2007-08,8,Tampa Bay,41,766412,41,674860,82,1441272,17576,2007,18338.0,-0.04155305922128913
2008-09,21,Tampa Bay,41,676409,41,697369,82,1373778,16753,2008,17576.0,-0.04682521620391443
2009-10,21,Tampa Bay,41,635388,41,684700,82,1320088,16099,2009,16753.0,-0.039037784277442845
2010-11,18,Tampa Bay,41,708022,41,695811,82,1403833,17120,2010,16099.0,0.0634200882042363
2011-12,13,Tampa Bay,41,757192,41,706348,82,1463540,17848,2011,17120.0,0.04252336448598131
2012-13,8,Tampa Bay,24,457337,24,421272,48,878609,18304,2012,17848.0,0.025549081129538322
2013-14,10,Tampa Bay,41,763096,41,712047,82,1475143,17990,2013,18304.0,-0.01715472027972028
2014-15,9,Tampa Bay,41,771761,41,715573,82,1487334,18138,2014,17990.0,0.008226792662590328
2015-16,8,Tampa Bay,41,782772,41,702658,82,1485430,18115,2015,18138.0,-0.0012680560149961407
2016-17,8,Tampa Bay,41,782772,41,703109,82,1485881,18120,2016,18115.0,0.0002760143527463428
2017-18,6,Tampa Bay,41,782772,41,701674,82,1484446,18103,2017,18120.0,-0.0009381898454746137
2000-01,5,Toronto,41,789567,41,704052,82,1493619,18215,2000,,
2001-02,4,Toronto,41,790457,41,712457,82,1502914,18328,2001,18215.0,0.006203678287125995
2002-03,4,Toronto,41,788847,41,701428,82,1490275,18174,2002,18328.0,-0.00840244434744653
2003-04,3,Toronto,41,794439,41,693679,82,1488118,18148,2003,18174.0,-0.001430615164520744
2005-06,6,Toronto,41,795747,41,709997,82,1505744,18363,2005,18148.0,0.011847035486003967
2006-07,4,Toronto,41,798981,41,703601,82,1502582,18324,2006,18363.0,-0.0021238359745139684
2007-08,5,Toronto,41,796803,41,725700,82,1522503,18567,2007,18324.0,0.013261296660117878
2008-09,5,Toronto,41,791795,41,710161,82,1501956,18317,2008,18567.0,-0.013464749286368288
2009-10,6,Toronto,41,789681,41,701633,82,1491314,18187,2009,18317.0,-0.007097232079488999
2010-11,5,Toronto,41,793522,41,692654,82,1486176,18124,2010,18187.0,-0.003464012756364436
2011-12,5,Toronto,41,799786,41,730210,82,1529996,18658,2011,18124.0,0.029463694548664755
2012-13,5,Toronto,24,466229,24,432648,48,898877,18727,2012,18658.0,0.0036981455675849503
2013-14,6,Toronto,41,797310,41,817950,82,1615260,19698,2013,18727.0,0.051850269664121325
2014-15,7,Toronto,41,781576,41,714876,82,1496452,18249,2014,19698.0,-0.07356076759061833
2015-16,6,Toronto,41,785485,41,730169,82,1515654,18484,2015,18249.0,0.01287741794070908
2016-17,5,Toronto,41,809519,41,713113,82,1522632,18569,2016,18484.0,0.004598571737719108
2017-18,5,Toronto,41,786677,41,751940,82,1538617,18764,2017,18569.0,0.010501373256502773
2000-01,13,Vancouver,41,698077,41,687447,82,1385524,16897,2000,,
2001-02,11,Vancouver,41,726226,41,668833,82,1395059,17013,2001,16897.0,0.0068651239865064806
2002-03,8,Vancouver,41,754247,41,681051,82,1435298,17504,2002,17013.0,0.02886028331276083
2003-04,5,Vancouver,41,763830,41,690563,82,1454393,17736,2003,17504.0,0.013254113345521023
2005-06,8,Vancouver,41,763830,41,692572,82,1456402,17761,2005,17736.0,0.0014095624718087505
2006-07,9,Vancouver,41,763830,41,702740,82,1466570,17885,2006,17761.0,0.006981588874500309
2007-08,9,Vancouver,41,763830,41,699706,82,1463536,17848,2007,17885.0,-0.002068772714565278
2008-09,8,Vancouver,41,763830,41,702371,82,1466201,17880,2008,17848.0,0.0017929179740026895
2009-10,8,Vancouver,41,771210,41,702412,82,1473622,17971,2009,17880.0,0.005089485458612975
2010-11,8,Vancouver,41,773260,41,701715,82,1474975,17988,2010,17971.0,0.0009459685048133103
2011-12,8,Vancouver,41,774250,41,725126,82,1499376,18285,2011,17988.0,0.016511007338225483
2012-13,10,Vancouver,24,454740,24,418320,48,873060,18189,2012,18285.0,-0.005250205086136177
2013-14,5,Vancouver,41,810594,41,699378,82,1509972,18414,2013,18189.0,0.012370113805047007
2014-15,10,Vancouver,41,767149,41,703355,82,1470504,17933,2014,18414.0,-0.026121429347235797
2015-16,14,Vancouver,41,755677,41,707824,82,1463501,17848,2015,17933.0,-0.004739865053253778
2016-17,11,Vancouver,41,758891,41,701018,82,1459909,17804,2016,17848.0,-0.002465262214253698
2017-18,16,Vancouver,41,741233,41,697820,82,1439053,17549,2017,17804.0,-0.014322624129409121
2017-18,17,Vegas,41,739740,41,732793,82,1472533,17958,2017,,
2000-01,21,Washington,41,636914,41,678509,82,1315423,16042,2000,,
2001-02,13,Washington,41,710990,41,692162,82,1403152,17112,2001,16042.0,0.06669991272908615
2002-03,18,Washington,41,647272,41,663298,82,1310570,15983,2002,17112.0,-0.06597709209911173
2003-04,25,Washington,41,603528,41,669079,82,1272607,15520,2003,15983.0,-0.028968278796220985
2005-06,28,Washington,41,570113,41,677402,82,1247515,15214,2005,15520.0,-0.019716494845360824
2006-07,27,Washington,41,571129,41,712539,82,1283668,15654,2006,15214.0,0.02892073090574471
2007-08,24,Washington,41,634381,41,721395,82,1355776,16534,2007,15654.0,0.05621566372812061
2008-09,13,Washington,41,741992,41,715327,82,1457319,17772,2008,16534.0,0.07487601306398936
2009-10,11,Washington,41,749357,41,699870,82,1449227,17674,2009,17772.0,-0.005514292144947108
2010-11,10,Washington,41,754309,40,685960,81,1440269,17781,2010,17674.0,0.006054090754781034
2011-12,12,Washington,41,758746,41,720534,82,1479280,18040,2011,17781.0,0.014566109892581969
2012-13,14,Washington,24,425638,24,430488,48,856126,17836,2012,18040.0,-0.01130820399113082
2013-14,14,Washington,41,740240,41,712252,82,1452492,17713,2013,17836.0,-0.006896165059430365
2014-15,5,Washington,41,783072,41,708726,82,1491798,18193,2014,17713.0,0.027098741037655957
2015-16,12,Washington,41,758944,41,719960,82,1478904,18035,2015,18193.0,-0.008684658934755125
2016-17,12,Washington,41,758746,41,707783,82,1466529,17884,2016,18035.0,-0.00837260881619074
2017-18,9,Washington,41,769756,41,701059,82,1470815,17937,2017,17884.0,0.0029635428315813016
2000-01,23,Winnipeg,41,625780,41,639436,82,1265216,15429,2000,,
2001-02,28,Winnipeg,41,560404,41,658665,82,1219069,14867,2001,15429.0,-0.03642491412275585
2002-03,28,Winnipeg,41,552535,41,653048,82,1205583,14702,2002,14867.0,-0.011098405865339342
2003-04,22,Winnipeg,41,619965,41,661535,82,1281500,15628,2003,14702.0,0.06298462794177663
2005-06,23,Winnipeg,41,637578,41,679698,82,1317276,16064,2005,15628.0,0.02789864346045559
2006-07,21,Winnipeg,41,665862,41,690399,82,1356261,16540,2006,16064.0,0.02963147410358566
2007-08,22,Winnipeg,41,649081,41,702248,82,1351329,16480,2007,16540.0,-0.0036275695284159614
2008-09,29,Winnipeg,41,599673,41,702904,82,1302577,15885,2008,16480.0,-0.03610436893203883
2009-10,28,Winnipeg,41,557897,41,705528,82,1263425,15408,2009,15885.0,-0.03002832861189802
2010-11,28,Winnipeg,41,552230,41,683921,82,1236151,15075,2010,15408.0,-0.02161214953271028
2011-12,25,Winnipeg,41,615164,41,731235,82,1346399,16420,2011,15075.0,0.08922056384742952
2012-13,27,Winnipeg,24,360096,24,431760,48,791856,16497,2012,16420.0,0.004689403166869671
2013-14,25,Winnipeg,41,615164,41,698968,82,1314132,16026,2013,16497.0,-0.02855064557192217
2014-15,27,Winnipeg,41,616556,41,713687,82,1330243,16222,2014,16026.0,0.012230126045176587
2015-16,25,Winnipeg,41,627054,41,721805,82,1348859,16450,2015,16222.0,0.014054987054617187
2016-17,24,Winnipeg,41,645004,41,722912,82,1367916,16682,2016,16450.0,0.014103343465045593
2017-18,26,Winnipeg,41,628161,41,713810,82,1341971,16366,2017,16682.0,-0.018942572832993648
